In	Out	Name
1	0	CHANGE_PICKUP_BLIP_SCALE
1	0	CHANGE_PICKUP_BLIP_SPRITE
1	0	CHANGE_PLAYBACK_TO_USE_AI
2	0	CHANGE_PLAYER_MODEL
3	1	CHECK_NM_FEEDBACK
3	1	CHECK_STUCK_TIMER
2	0	CLEAR_ADDITIONAL_TEXT
1	0	CLEAR_ALL_CHAR_PROPS
7	0	CLEAR_ANGLED_AREA_OF_CARS
5	0	CLEAR_AREA
4	0	CLEAR_AREA_OF_CARS
4	0	CLEAR_AREA_OF_CHARS
4	0	CLEAR_AREA_OF_COPS
4	0	CLEAR_AREA_OF_OBJECTS
2	0	CLEAR_BIT
0	0	CLEAR_BRIEF
1	0	CLEAR_CAR_LAST_DAMAGE_ENTITY
1	0	CLEAR_CAR_LAST_WEAPON_DAMAGE
2	0	CLEAR_CHAR_DECISION_MAKER_EVENT_RESPONSE
1	0	CLEAR_CHAR_LAST_DAMAGE_BONE
1	0	CLEAR_CHAR_LAST_DAMAGE_ENTITY
1	0	CLEAR_CHAR_LAST_WEAPON_DAMAGE
2	0	CLEAR_CHAR_PROP
3	0	CLEAR_CHAR_RELATIONSHIP
1	0	CLEAR_CHAR_SECONDARY_TASK
1	0	CLEAR_CHAR_TASKS
1	0	CLEAR_CHAR_TASKS_IMMEDIATELY
0	0	CLEAR_HELP
1	0	CLEAR_NAMED_CUTSCENE
0	0	CLEAR_NETWORK_RESTART_NODE_GROUP_LIST
0	0	CLEAR_NEWS_SCROLLBAR
1	0	CLEAR_OBJECT_LAST_DAMAGE_ENTITY
1	0	CLEAR_ONSCREEN_COUNTER
1	0	CLEAR_ONSCREEN_TIMER
0	0	CLEAR_PED_NON_CREATION_AREA
0	0	CLEAR_PED_NON_REMOVAL_AREA
1	0	CLEAR_PLAYER_HAS_DAMAGED_AT_LEAST_ONE_PED
0	0	CLEAR_PRINTS
3	0	CLEAR_RELATIONSHIP
1	0	CLEAR_ROOM_FOR_CAR
1	0	CLEAR_ROOM_FOR_CHAR
1	0	CLEAR_ROOM_FOR_OBJECT
1	0	CLEAR_ROOM_FOR_VIEWPORT
0	0	CLEAR_SCRIPTED_CONVERSION_CENTRE
1	0	CLEAR_SCRIPT_ARRAY_FROM_SCRATCHPAD
1	0	CLEAR_SEQUENCE_TASK
0	0	CLEAR_SHAKE_PLAYERPAD_WHEN_CONTROLLER_DISABLED
0	0	CLEAR_SMALL_PRINTS
1	0	CLEAR_TEXT_LABEL
1	0	CLEAR_THIS_PRINT
1	0	CLEAR_THIS_PRINT_BIG_NOW
0	0	CLEAR_TIMECYCLE_MODIFIER
1	0	CLEAR_WANTED_LEVEL
1	0	CLOSE_ALL_CAR_DOORS
0	0	CLOSE_DEBUG_FILE
1	0	CLOSE_GARAGE
1	0	CLOSE_SEQUENCE_TASK
0	1	CODE_WANTS_MOBILE_PHONE_REMOVED
0	1	CODE_WANTS_MOBILE_PHONE_REMOVED_FOR_WEAPON_SWITCHING
2	1	COMPARE_STRING
4	1	COMPARE_TWO_DATES
4	0	CONTROL_CAR_DOOR
1	1	CONVERT_INT_TO_PLAYERINDEX
3	0	COPY_ANIMATIONS
2	0	COPY_CHAR_DECISION_MAKER
2	0	COPY_COMBAT_DECISION_MAKER
2	0	COPY_GROUP_CHAR_DECISION_MAKER
2	0	COPY_SHARED_COMBAT_DECISION_MAKER
1	1	COS
1	1	COUNT_PICKUPS_OF_TYPE
0	1	COUNT_SCRIPT_CAMS
3	1	COUNT_SCRIPT_CAMS_BY_TYPE_AND_OR_STATE
2	0	CREATE_CAM
6	0	CREATE_CAR
15	0	CREATE_CAR_GENERATOR
7	0	CREATE_CHAR
5	0	CREATE_CHAR_AS_PASSENGER
4	0	CREATE_CHAR_INSIDE_CAR
8	1	CREATE_CHECKPOINT
4	1	CREATE_EMERGENCY_SERVICES_CAR
7	1	CREATE_EMERGENCY_SERVICES_CAR_RETURN_DRIVER
4	1	CREATE_EMERGENCY_SERVICES_CAR_THEN_WALK
3	0	CREATE_GROUP
1	1	CREATE_HTML_SCRIPT_OBJECT
1	0	CREATE_HTML_VIEWPORT
6	0	CREATE_MISSION_TRAIN
1	0	CREATE_MOBILE_PHONE
6	0	CREATE_MONEY_PICKUP
2	0	CREATE_NM_MESSAGE
6	0	CREATE_OBJECT
6	0	CREATE_OBJECT_NO_OFFSET
7	0	CREATE_PICKUP
10	0	CREATE_PICKUP_ROTATE
7	0	CREATE_PICKUP_WITH_AMMO
5	0	CREATE_PLAYER
4	0	CREATE_RANDOM_CHAR
2	0	CREATE_RANDOM_CHAR_AS_DRIVER
4	0	CREATE_RANDOM_FEMALE_CHAR
4	0	CREATE_RANDOM_MALE_CHAR
5	0	CREATE_TEMPORARY_RADAR_BLIPS_FOR_PICKUPS_IN_AREA
1	1	CREATE_WIDGET_GROUP
3	0	DAMAGE_CHAR
3	0	DAMAGE_PED_BODY_PART
0	0	DEACTIVATE_FRONTEND
0	0	DEACTIVATE_NETWORK_SETTINGS_MENU
0	0	DEBUG_OFF
2	0	DECREMENT_INT_STAT
0	0	DELETE_ALL_HTML_SCRIPT_OBJECTS
0	0	DELETE_ALL_TRAINS
1	0	DELETE_CAR
1	0	DELETE_CAR_GENERATOR
1	0	DELETE_CHAR
1	0	DELETE_CHECKPOINT
1	0	DELETE_HTML_SCRIPT_OBJECT
1	0	DELETE_MISSION_TRAIN
1	0	DELETE_OBJECT
1	0	DELETE_WIDGET_GROUP
0	0	DESTROY_ALL_CAMS
1	0	DESTROY_CAM
0	0	DESTROY_MOBILE_PHONE
1	0	DESTROY_THREAD
1	0	DESTROY_VIEWPORT
1	0	DETACH_CAR
2	0	DETACH_OBJECT
2	0	DETACH_PED
2	0	DETACH_PED_FROM_WITHIN_CAR
0	1	DID_SAVE_COMPLETE_SUCCESSFULLY
2	0	DIM_BLIP
1	0	DISABLE_CAR_GENERATORS
1	0	DISABLE_CAR_GENERATORS_WITH_HELI
0	0	DISABLE_END_CREDITS_FADE
0	0	DISABLE_FRONTEND_RADIO
1	0	DISABLE_GPS
1	0	DISABLE_PAUSE_MENU
2	0	DISABLE_PLAYER_LOCKON
2	0	DISABLE_PLAYER_SPRINT
0	0	DISABLE_POLICE_SCANNER
1	0	DISPLAY_AMMO
1	0	DISPLAY_AREA_NAME
1	0	DISPLAY_CASH
1	0	DISPLAY_FRONTEND_MAP_BLIPS
2	0	DISPLAY_HELP_TEXT_THIS_FRAME
1	0	DISPLAY_HUD
1	0	DISPLAY_NON_MINIGAME_HELP_MESSAGES
2	0	DISPLAY_PLAYBACK_RECORDED_CAR
1	0	DISPLAY_PLAYER_NAMES
1	0	DISPLAY_RADAR
0	0	DISPLAY_SNIPER_SCOPE_THIS_FRAME
3	0	DISPLAY_TEXT
5	0	DISPLAY_TEXT_WITH_2_NUMBERS
5	0	DISPLAY_TEXT_WITH_FLOAT
4	0	DISPLAY_TEXT_WITH_LITERAL_STRING
4	0	DISPLAY_TEXT_WITH_NUMBER
4	0	DISPLAY_TEXT_WITH_STRING
5	0	DISPLAY_TEXT_WITH_TWO_LITERAL_STRINGS
5	0	DISPLAY_TEXT_WITH_TWO_STRINGS
1	1	DOES_BLIP_EXIST
1	1	DOES_CAM_EXIST
1	1	DOES_CAR_HAVE_ROOF
1	1	DOES_CAR_HAVE_STUCK_CAR_CHECK
1	1	DOES_CHAR_EXIST
1	1	DOES_DECISION_MAKER_EXIST
0	1	DOES_GAME_CODE_WANT_TO_LEAVE_NETWORK_SESSION
1	1	DOES_GROUP_EXIST
1	1	DOES_OBJECT_EXIST
1	1	DOES_OBJECT_EXIST_WITH_NETWORK_ID
1	1	DOES_OBJECT_HAVE_PHYSICS
5	1	DOES_OBJECT_OF_TYPE_EXIST_AT_COORDS
1	1	DOES_PED_EXIST_WITH_NETWORK_ID
1	1	DOES_PICKUP_EXIST
5	1	DOES_SCENARIO_EXIST_IN_AREA
1	1	DOES_SCRIPT_EXIST
1	1	DOES_TEXT_LABEL_EXIST
0	1	DOES_THIS_MINIGAME_SCRIPT_ALLOW_NON_MINIGAME_HELP_MESSAGES
1	1	DOES_VEHICLE_EXIST
1	1	DOES_VEHICLE_EXIST_WITH_NETWORK_ID
1	1	DOES_VIEWPORT_EXIST
1	1	DOES_WEB_PAGE_EXIST
1	1	DOES_WIDGET_GROUP_EXIST
2	0	DONT_ABORT_CAR_CONVERSATIONS
2	0	DONT_DISPATCH_COPS_FOR_PLAYER
0	0	DONT_DISPLAY_LOADING_ON_FADE_THIS_FRAME
0	0	DONT_SUPPRESS_ANY_PED_MODELS
1	0	DONT_SUPPRESS_CAR_MODEL
1	0	DONT_SUPPRESS_PED_MODEL
0	0	DO_AUTO_SAVE
1	0	DO_SCREEN_FADE_IN
1	0	DO_SCREEN_FADE_IN_UNHACKED
1	0	DO_SCREEN_FADE_OUT
1	0	DO_SCREEN_FADE_OUT_UNHACKED
7	0	DRAW_CHECKPOINT
8	0	DRAW_CHECKPOINT_WITH_ALPHA
9	0	DRAW_COLOURED_CYLINDER
5	0	DRAW_CURVED_WINDOW
3	0	DRAW_FRONTEND_HELPER_TEXT
8	0	DRAW_LIGHT_WITH_RANGE
9	0	DRAW_MOVIE
8	0	DRAW_RECT
10	0	DRAW_SPRITE
9	0	DRAW_SPRITE_PHOTO
2	0	DROP_OBJECT
1	0	ENABLE_CHASE_AUDIO
0	0	ENABLE_END_CREDITS_FADE
0	0	ENABLE_FRONTEND_RADIO
1	0	ENABLE_MAX_AMMO_CAP
2	0	ENABLE_PED_HELMET
0	0	ENABLE_POLICE_SCANNER
2	0	ENABLE_SAVE_HOUSE
1	0	ENABLE_SCENE_STREAMING
1	0	ENABLE_XBOX_SCREEN_SAVER
1	0	END_CAM_COMMANDS
0	0	END_CHAR_SEARCH_CRITERIA
0	0	END_WIDGET_GROUP
3	0	EVOLVE_PTFX
3	0	EXPLODE_CAR
2	0	EXPLODE_CAR_IN_CUTSCENE
1	0	EXPLODE_CHAR_HEAD
1	0	EXTINGUISH_CAR_FIRE
1	0	EXTINGUISH_CHAR_FIRE
4	0	EXTINGUISH_FIRE_AT_POINT
0	0	FAKE_DEATHARREST
3	0	FIND_NEAREST_COLLECTABLE_BIN_BAGS
1	1	FIND_NETWORK_KILLER_OF_PLAYER
1	1	FIND_POSITION_IN_RECORDING
2	0	FIND_PRIMARY_POPULATION_ZONE_GROUP
5	0	FIND_STREET_NAME_AT_POSITION
1	1	FIND_TIME_POSITION_IN_RECORDING
2	1	FINISH_WIDGET_COMBO
4	0	FIRE_PED_WEAPON
7	0	FIRE_SINGLE_BULLET
1	0	FIX_CAR
2	0	FIX_CAR_TYRE
2	0	FLASH_BLIP
2	0	FLASH_BLIP_ALT
1	0	FLASH_ROUTE
1	0	FLASH_WEAPON_ICON
1	1	FLOOR
0	0	FLUSH_ALL_OUT_OF_DATE_RADAR_BLIPS_FROM_MISSION_CLEANUP_LIST
0	0	FLUSH_ALL_SPAWN_BLOCKING_AREAS
0	0	FLUSH_COVER_BLOCKING_AREAS
0	0	FLUSH_SCENARIO_BLOCKING_AREAS
2	0	FORCE_AIR_DRAG_MULT_FOR_PLAYERS_CAR
2	0	FORCE_CAR_LIGHTS
1	0	FORCE_CHAR_TO_DROP_WEAPON
1	0	FORCE_FULL_VOICE
1	0	FORCE_HIGH_LOD
1	0	FORCE_INITIAL_PLAYER_STATION
1	0	FORCE_LOADING_SCREEN
1	0	FORCE_NO_CAM_PAUSE
3	1	FORCE_PED_PINNED_DOWN
2	0	FORCE_PED_TO_FLEE_WHILST_DRIVING_VEHICLE
2	0	FORCE_PED_TO_LOAD_COVER
4	0	FORCE_RADIO_TRACK
5	0	FORCE_SPAWN_SCENARIO_PEDS_IN_AREA
2	0	FORCE_TIME_OF_DAY
1	0	FORCE_WEATHER
1	0	FORCE_WEATHER_NOW
1	0	FORCE_WIND
2	0	FORWARD_TO_TIME_OF_DAY
2	0	FREEZE_CAR_POSITION
2	0	FREEZE_CAR_POSITION_AND_DONT_LOAD_COLLISION
2	0	FREEZE_CHAR_POSITION
2	0	FREEZE_CHAR_POSITION_AND_DONT_LOAD_COLLISION
2	0	FREEZE_OBJECT_POSITION
6	0	FREEZE_POSITION_OF_CLOSEST_OBJECT_OF_TYPE
1	0	FREEZE_RADIO_STATION
5	0	GENERATE_DIRECTIONS
3	0	GENERATE_RANDOM_FLOAT_IN_RANGE
3	0	GENERATE_RANDOM_INT_IN_RANGE
3	0	GET_AMMO_IN_CHAR_WEAPON
3	1	GET_AMMO_IN_CLIP
5	0	GET_ANGLE_BETWEEN_2D_VECTORS
1	1	GET_ANIM_GROUP_FROM_CHAR
0	1	GET_AUDIBLE_MUSIC_TRACK_TEXT_ID
3	1	GET_BITS_IN_RANGE
2	0	GET_BLIP_COLOUR
2	0	GET_BLIP_COORDS
1	1	GET_BLIP_INFO_ID_CAR_INDEX
1	1	GET_BLIP_INFO_ID_DISPLAY
1	1	GET_BLIP_INFO_ID_OBJECT_INDEX
1	1	GET_BLIP_INFO_ID_PED_INDEX
1	1	GET_BLIP_INFO_ID_PICKUP_INDEX
1	1	GET_BLIP_INFO_ID_TYPE
1	1	GET_BLIP_NAME
1	1	GET_BLIP_SPRITE
2	0	GET_CAM_FOV
4	0	GET_CAM_POS
4	0	GET_CAM_ROT
2	0	GET_CAR_CHAR_IS_USING
3	0	GET_CAR_COLOURS
4	0	GET_CAR_COORDINATES
5	0	GET_CAR_DEFORMATION_AT_POS
2	0	GET_CAR_DOOR_LOCK_STATUS
2	0	GET_CAR_FORWARD_X
2	0	GET_CAR_FORWARD_Y
2	0	GET_CAR_HEADING
2	0	GET_CAR_HEALTH
2	0	GET_CAR_MODEL
2	0	GET_CAR_MODEL_VALUE
1	1	GET_CAR_OBJECT_IS_ATTACHED_TO
2	0	GET_CAR_PITCH
2	0	GET_CAR_ROLL
2	0	GET_CAR_SPEED
3	0	GET_CAR_SPEED_VECTOR
2	0	GET_CAR_UPRIGHT_VALUE
4	0	GET_CHAR_ANIM_CURRENT_TIME
4	0	GET_CHAR_ANIM_TOTAL_TIME
2	0	GET_CHAR_ARMOUR
4	0	GET_CHAR_COORDINATES
2	1	GET_CHAR_DRAWABLE_VARIATION
5	0	GET_CHAR_EXTRACTED_DISPLACEMENT
2	0	GET_CHAR_HEADING
2	0	GET_CHAR_HEALTH
2	0	GET_CHAR_HEIGHT_ABOVE_GROUND
3	0	GET_CHAR_IN_CAR_PASSENGER_SEAT
2	1	GET_CHAR_LAST_DAMAGE_BONE
1	1	GET_CHAR_MELEE_ACTION_FLAG0
1	1	GET_CHAR_MELEE_ACTION_FLAG1
2	0	GET_CHAR_MODEL
1	1	GET_CHAR_MONEY
3	0	GET_CHAR_PROP_INDEX
1	1	GET_CHAR_READY_TO_BE_EXECUTED
1	1	GET_CHAR_READY_TO_BE_STUNNED
2	0	GET_CHAR_SPEED
2	1	GET_CHAR_TEXTURE_VARIATION
4	0	GET_CHAR_VELOCITY
5	0	GET_CHAR_WEAPON_IN_SLOT
1	1	GET_CHAR_WILL_COWER_INSTEAD_OF_FLEEING
1	0	GET_CINEMATIC_CAM
6	1	GET_CLOSEST_CAR
6	1	GET_CLOSEST_CAR_NODE
7	1	GET_CLOSEST_CAR_NODE_WITH_HEADING
7	1	GET_CLOSEST_CHAR
6	1	GET_CLOSEST_MAJOR_CAR_NODE
5	1	GET_CLOSEST_NETWORK_RESTART_NODE
10	1	GET_CLOSEST_ROAD
3	0	GET_COORDINATES_FOR_NETWORK_RESTART_NODE
6	0	GET_CORRECTED_COLOUR
0	1	GET_CREATE_RANDOM_COPS
1	0	GET_CURRENT_BASIC_COP_MODEL
1	0	GET_CURRENT_BASIC_POLICE_CAR_MODEL
2	1	GET_CURRENT_CHAR_WEAPON
1	0	GET_CURRENT_COP_MODEL
2	0	GET_CURRENT_DATE
0	1	GET_CURRENT_DAY_OF_WEEK
0	1	GET_CURRENT_EPISODE
0	1	GET_CURRENT_LANGUAGE
1	1	GET_CURRENT_PLAYBACK_NUMBER_FOR_CAR
1	0	GET_CURRENT_POLICE_CAR_MODEL
0	1	GET_CURRENT_SCRIPTED_CONVERSATION_LINE
1	1	GET_CURRENT_STATION_FOR_TRAIN
1	0	GET_CURRENT_TAXI_CAR_MODEL
1	0	GET_CURRENT_WEATHER
0	1	GET_CUTSCENE_AUDIO_TIME_MS
2	0	GET_CUTSCENE_PED_POSITION
0	1	GET_CUTSCENE_SECTION_PLAYING
0	1	GET_CUTSCENE_TIME
2	1	GET_DAMAGE_TO_PED_BODY_PART
4	0	GET_DEAD_CAR_COORDINATES
4	0	GET_DEAD_CHAR_COORDINATES
4	0	GET_DEAD_CHAR_PICKUP_COORDS
1	0	GET_DEBUG_CAM
2	1	GET_DESTROYER_OF_NETWORK_ID
1	1	GET_DISPLAY_NAME_FROM_VEHICLE_MODEL
5	0	GET_DISTANCE_BETWEEN_COORDS_2D
7	0	GET_DISTANCE_BETWEEN_COORDS_3D
3	0	GET_DOOR_ANGLE_RATIO
2	0	GET_DRIVER_OF_CAR
1	1	GET_ENGINE_HEALTH
0	1	GET_EPISODE_INDEX_FROM_SUMMONS
1	1	GET_EPISODE_NAME
3	0	GET_EXTRA_CAR_COLOURS
1	1	GET_FIRST_BLIP_INFO_ID
2	1	GET_FIRST_N_CHARACTERS_OF_LITERAL_STRING
2	1	GET_FIRST_N_CHARACTERS_OF_STRING
1	0	GET_FOLLOW_VEHICLE_CAM_SUBMODE
1	0	GET_FRAME_TIME
3	0	GET_FRONTEND_DESIGN_VALUE
3	1	GET_GAMER_NETWORK_SCORE
1	0	GET_GAME_CAM
1	0	GET_GAME_CAM_CHILD
1	0	GET_GAME_TIMER
1	0	GET_GAME_VIEWPORT_ID
4	1	GET_GROUND_Z_FOR_3D_COORD
2	0	GET_GROUP_LEADER
3	0	GET_GROUP_MEMBER
3	0	GET_GROUP_SIZE
1	1	GET_HASH_KEY
3	0	GET_HEADING_FROM_VECTOR_2D
6	1	GET_HEIGHT_OF_VEHICLE
2	0	GET_HELP_MESSAGE_BOX_SIZE
0	1	GET_HOST_ID
0	1	GET_HOURS_OF_DAY
5	0	GET_HUD_COLOUR
0	1	GET_ID_OF_THIS_THREAD
4	0	GET_INTERIOR_AT_COORDS
2	0	GET_INTERIOR_FROM_CAR
2	0	GET_INTERIOR_FROM_CHAR
2	0	GET_INTERIOR_HEADING
1	1	GET_INT_STAT
0	1	GET_IS_DEPOSIT_ANIM_RUNNING
0	1	GET_IS_HIDEF
0	1	GET_IS_WIDESCREEN
2	0	GET_KEY_FOR_CAR_IN_ROOM
2	0	GET_KEY_FOR_CHAR_IN_ROOM
2	0	GET_KEY_FOR_VIEWPORT_IN_ROOM
1	1	GET_LEFT_PLAYER_CASH_TO_REACH_LEVEL
1	1	GET_LENGTH_OF_LITERAL_STRING
1	1	GET_LENGTH_OF_STRING_WITH_THIS_TEXT_LABEL
0	1	GET_LOCAL_GAMERLEVEL_FROM_PROFILESETTINGS
0	1	GET_LOCAL_PLAYER_MP_CASH
3	1	GET_MAP_AREA_FROM_COORDS
2	0	GET_MAXIMUM_NUMBER_OF_PASSENGERS
3	1	GET_MAX_AMMO
3	0	GET_MAX_AMMO_IN_CLIP
1	0	GET_MAX_WANTED_LEVEL
0	1	GET_MINUTES_OF_DAY
2	1	GET_MINUTES_TO_TIME_OF_DAY
0	1	GET_MISSION_FLAG
1	0	GET_MOBILE_PHONE_RENDER_ID
2	1	GET_MOBILE_PHONE_TASK_SUB_TASK
3	0	GET_MODEL_DIMENSIONS
1	1	GET_MODEL_NAME_FOR_DEBUG
1	1	GET_MOTION_CONTROL_PREFERENCE
3	1	GET_NAME_OF_INFO_ZONE
3	1	GET_NAME_OF_ZONE
5	0	GET_NEAREST_CABLE_CAR
2	0	GET_NETWORK_ID_FROM_OBJECT
2	0	GET_NETWORK_ID_FROM_PED
2	0	GET_NETWORK_ID_FROM_VEHICLE
1	0	GET_NETWORK_TIMER
1	1	GET_NEXT_BLIP_INFO_ID
8	1	GET_NEXT_CLOSEST_CAR_NODE_WITH_HEADING_ON_ISLAND
1	1	GET_NEXT_STATION_FOR_TRAIN
1	1	GET_NO_OF_PLAYERS_IN_TEAM
